"Player","Hands","VPIP","PFR","3Bet PF","2Bet PF & Fold","2Bet PF & Fold OOP","4Bet+ Ratio","RFI (EP)","RFI (MP)","RFI (CO)","RFI (BU)","RFI (SB)","CBet F","CBet T","Fold to F Float","Fold to T Float","CBet F & Fold","RCp XFf OOP","WTSD %","WWSF","WSD","Total AFq"
"brokerfalse659","1,826","26.57","18.77","5.21","35.48","12.50","1.21","19.44","19.92","28.32","36.23","28.57","47.20","66.67","66.67","20.00","33.33","50.00","36.12","39.80","48.98","41.50"
"Bubbimetall","1,175","21.90","20.28","10.14","66.67","61.90","3.37","18.64","27.40","22.73","48.19","42.00","48.28","50.00","60.00","50.00","30.00","100.00","28.14","49.25","66.07","50.38"
"Bumling","9,312","24.63","20.33","8.56","48.90","54.79","1.26","23.59","25.65","29.65","35.23","35.63","47.87","56.02","54.26","44.44","33.33","42.11","29.20","46.23","57.48","48.03"
"Calippo73","2,145","21.67","19.30","9.66","54.24","56.52","4.82","14.74","19.92","22.98","42.86","55.00","53.70","50.00","59.26","60.00","37.50","50.00","23.91","41.39","48.39","49.70"
"CantSeeMyCards","1,265","22.43","13.27","2.73","57.69","54.55","0.51","16.18","16.86","26.81","41.38","25.64","53.01","30.00","100.00","50.00","40.00","33.33","26.62","41.83","61.43","42.41"
"chatGTO","1,310","19.52","15.41","6.90","55.88","50.00","0.88","14.47","21.29","21.43","37.50","32.56","45.65","63.64","90.00","100.00","40.00","60.00","27.75","41.15","53.45","42.81"
"cloudsecond826","1,920","25.21","23.73","15.48","50.00","40.00","2.75","13.39","24.79","25.39","91.60","38.98","52.61","59.18","71.43","75.00","16.67","100.00","31.61","41.96","50.00","47.12"
"Dagsedel","2,999","26.56","17.04","2.78","59.70","50.00","0.99","24.10","21.81","22.94","38.53","39.73","64.93","60.82","93.33","66.67","46.15","55.56","26.20","39.04","61.39","45.17"
"Depolarized","1,184","24.31","21.21","12.72","62.07","56.25","1.41","24.18","25.35","23.08","37.00","36.73","43.12","40.91","83.33","0.00","-","66.67","26.15","48.17","68.42","47.87"
"diblae85","1,050","23.29","18.35","6.74","44.83","33.33","2.71","15.66","20.00","27.52","44.21","31.75","63.64","43.75","100.00","100.00","0.00","100.00","35.78","38.73","61.64","37.09"
"DuHadeIngenChans","1,277","28.58","22.61","6.32","57.69","70.59","1.30","25.22","30.64","33.10","47.22","44.64","57.14","50.00","88.89","100.00","50.00","0.00","22.86","45.36","67.19","45.30"
"Enigmaxx","5,069","39.69","28.12","6.76","42.54","39.24","1.23","30.74","37.72","51.26","56.29","60.71","56.62","63.81","71.19","50.00","48.57","46.67","29.13","38.10","54.67","48.80"
"Fogden","3,744","18.67","11.76","3.56","36.00","44.44","1.41","13.74","15.78","17.57","26.87","19.35","37.27","29.27","62.50","40.00","33.33","50.00","28.19","34.07","62.50","32.82"
"FritzManitz","1,666","26.61","20.48","9.77","33.33","32.00","6.37","22.87","23.89","31.55","42.06","21.25","59.28","60.00","50.00","80.00","50.00","80.00","27.14","51.03","59.78","55.34"
